rank,ticker,company,weight,sector,sub_industry
435,APTV,Aptiv PLC,0.02,Consumer Discretionary,Automotive Parts & Equipment
449,HRL,Hormel Foods Corp,0.02,Consumer Staples,Packaged Foods & Meats
438,BALL,Ball Corp,0.02,Materials,"Metal, Glass & Plastic Containers"
439,SOLV,Solventum Corp,0.02,Health Care,Health Care Technology
433,DECK,Deckers Outdoor Corp,0.02,Consumer Discretionary,Footwear
474,SJM,J M Smucker Co/The,0.02,Consumer Staples,Packaged Foods & Meats
483,DPZ,Domino's Pizza Inc,0.02,Consumer Discretionary,Restaurants
443,DOC,Healthpeak Properties Inc,0.02,Real Estate,Health Care REITs
437,REG,Regency Centers Corp,0.02,Real Estate,Retail REITs
479,PODD,Insulet Corp,0.02,Health Care,Health Care Equipment
450,APA,APA Corp,0.02,Energy,Oil & Gas Exploration & Production
467,PNR,Pentair PLC,0.02,Industrials,Industrial Machinery & Supplies & Components
424,GEN,Gen Digital Inc,0.02,Information Technology,Systems Software
459,GL,Globe Life Inc,0.02,Financials,Life & Health Insurance
447,FOX,Fox Corp,0.02,Communication Services,Broadcasting
445,FOXA,Fox Corp,0.02,Communication Services,Broadcasting
469,PSKY,Paramount Skydance Corp,0.02,Communication Services,Movies & Entertainment
426,PTC,PTC Inc,0.02,Information Technology,Application Software
482,FRT,Federal Realty Investment Trust,0.02,Real Estate,Retail REITs
456,PNW,Pinnacle West Capital Corp,0.02,Utilities,Multi-Utilities
465,ERIE,Erie Indemnity Co,0.02,Financials,Insurance Brokers
478,RVTY,Revvity Inc,0.02,Health Care,Health Care Equipment
457,DVA,DaVita Inc,0.02,Health Care,Health Care Services
446,EG,Everest Group Ltd,0.02,Financials,Reinsurance
428,TXT,Textron Inc,0.02,Industrials,Aerospace & Defense
421,CHTR,Charter Communications Inc,0.02,Communication Services,Cable & Satellite
470,ALLE,Allegion plc,0.02,Industrials,Building Products
458,SWK,Stanley Black & Decker Inc,0.02,Industrials,Industrial Machinery & Supplies & Components
432,TKO,TKO Group Holdings Inc,0.02,Communication Services,Movies & Entertainment
430,TSCO,Tractor Supply Co,0.02,Consumer Discretionary,Other Specialty Retail
455,TRMB,Trimble Inc,0.02,Information Technology,Application Software
453,AIZ,Assurant Inc,0.02,Financials,Multi-line Insurance
448,COO,Cooper Cos Inc/The,0.02,Health Care,Health Care Supplies
477,SWKS,Skyworks Solutions Inc,0.02,Information Technology,Semiconductors
441,CSGP,CoStar Group Inc,0.02,Real Estate,Real Estate Services
471,CLX,Clorox Co/The,0.02,Consumer Staples,Household Products
499,MOS,Mosaic Co/The,0.01,Materials,Fertilizers & Agricultural Chemicals
489,JKHY,Jack Henry & Associates Inc,0.01,Financials,Transaction & Payment Processing Services
491,HSIC,Henry Schein Inc,0.01,Health Care,Health Care Distributors
490,ARE,Alexandria Real Estate Equities Inc,0.01,Real Estate,Office REITs
486,NWSA,News Corp,0.01,Communication Services,Publishing
503,NWS,News Corp,0.01,Communication Services,Publishing
494,NCLH,Norwegian Cruise Line Holdings Ltd,0.01,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
500,POOL,Pool Corp,0.01,Consumer Discretionary,Distributors
488,FDS,FactSet Research Systems Inc,0.01,Financials,Financial Exchanges & Data
497,AOS,A O Smith Corp,0.01,Industrials,Building Products
495,TECH,Bio-Techne Corp,0.01,Health Care,Life Sciences Tools & Services
498,TAP,Molson Coors Beverage Co,0.01,Consumer Staples,Brewers
501,CPB,Campbell's Company/The,0.01,Consumer Staples,Packaged Foods & Meats
493,CRL,Charles River Laboratories International Inc,0.01,Health Care,Life Sciences Tools & Services
487,TTD,Trade Desk Inc/The,0.01,Communication Services,Advertising
485,BXP,BXP Inc,0.01,Real Estate,Office REITs
502,CAG,Conagra Brands Inc,0.01,Consumer Staples,Packaged Foods & Meats
484,BAX,Baxter International Inc,0.01,Health Care,Health Care Equipment
492,UHS,Universal Health Services Inc,0.01,Health Care,Health Care Facilities
496,BLDR,Builders FirstSource Inc,0.01,Industrials,Building Products
